±∏∫–,«◊∏Ò,2014_∆Ú±’,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
√—∞Ë,≥‚∆Ú±’,0.0054,0.0049,0.0046,0.0044,0.004,0.0037,0.0031,0.003,0.0026,0.0025
º≠øÔ∆Ø∫∞Ω√,≥‚∆Ú±’,0.0056,0.0056,0.0049,0.0046,0.0044,0.0042,0.0031,0.0031,0.003,0.0028
∫ŒªÍ±§ø™Ω√,≥‚∆Ú±’,0.0068,0.0066,0.0056,0.0048,0.0049,0.0047,0.0035,0.003,0.003,0.0027
¥Î±∏±§ø™Ω√,≥‚∆Ú±’,0.0039,0.0034,0.0035,0.0034,0.0028,0.0028,0.0023,0.0019,0.0018,0.002
¿Œ√µ±§ø™Ω√,≥‚∆Ú±’,0.0071,0.0063,0.0062,0.0054,0.0048,0.0048,0.0038,0.0033,0.0034,0.0032
±§¡÷±§ø™Ω√,≥‚∆Ú±’,0.0039,0.0031,0.0028,0.0025,0.0026,0.0027,0.0028,0.0029,0.0029,0.0026
¥Î¿¸±§ø™Ω√,≥‚∆Ú±’,0.0041,0.0035,0.0032,0.0028,0.0024,0.0026,0.0023,0.0032,0.0032,0.0026
øÔªÍ±§ø™Ω√,≥‚∆Ú±’,0.0076,0.0075,0.0066,0.0058,0.0057,0.0052,0.0039,0.0033,0.0033,0.0034
ºº¡æ∆Ø∫∞¿⁄ƒ°Ω√,≥‚∆Ú±’,,,0.0037,0.0033,0.0027,0.0033,0.0033,0.0033,0.0029,0.0027
∞Ê±‚µµ∆Ú±’,≥‚∆Ú±’,0.0055,0.005,0.0047,0.0045,0.0038,0.0038,0.0032,0.0031,0.0022,0.0024
∞≠ø¯µµ∆Ú±’,≥‚∆Ú±’,0.0046,0.0041,0.0035,0.0032,0.0026,0.0025,0.0025,0.0024,0.0023,0.0021
√Ê√ª∫œµµ∆Ú±’,≥‚∆Ú±’,0.0038,0.0039,0.0035,0.0033,0.0036,0.0033,0.003,0.0022,0.0021,0.002
√Ê√ª≥≤µµ∆Ú±’,≥‚∆Ú±’,0.0044,0.0039,0.0036,0.0037,0.0038,0.0038,0.0033,0.0038,0.0032,0.003
¿¸∂Û∫œµµ∆Ú±’,≥‚∆Ú±’,0.0044,0.0041,0.0043,0.004,0.0038,0.0034,0.003,0.0027,0.0024,0.0021
¿¸∂Û≥≤µµ∆Ú±’,≥‚∆Ú±’,0.0055,0.0055,0.0055,0.0053,0.0049,0.0043,0.0031,0.003,0.003,0.0026
∞ÊªÛ∫œµµ∆Ú±’,≥‚∆Ú±’,0.0053,0.0059,0.0048,0.0043,0.0038,0.0035,0.0034,0.0032,0.0028,0.0027
∞ÊªÛ≥≤µµ∆Ú±’,≥‚∆Ú±’,0.0044,0.0043,0.0043,0.0044,0.004,0.0035,0.003,0.003,0.003,0.0028
¡¶¡÷µµ∆Ú±’,≥‚∆Ú±’,0.0023,0.0031,0.003,0.002,0.0026,0.0022,0.0011,0.0013,0.0012,0.0015
